Place Name,City,Overall,,Population 25-64,,Percent College Grad,Top Science Grad Programs,Top Science Undergraduates,Patents per Worker,,Average House Price,Violent Crimes per Capita,Commute Less than 30 min,,Grouped?
"Davenport-Moline-Rock Island, IA-IL",,75,,76,,94,79,76,54,,14,54,14,,
"Lancaster, PA",,76,,57,,102,92,46,47,,87,3,66,,
"Eugene, OR",,77,,79,,68,83,41,55,,100,17,12,,
"Auburn-Opelika/Columbus, GA-AL",,78,,66,,65,71,62,88,,31,60,49,,Y
"Jacksonville, FL",,79,,18,,50,96,88,80,,90,80,96,,
"Decatur/Springfield, IL",,80,,82,,51,53,95,73,,3,97,5,,Y
"Spokane-Spokane Valley, WA",,81,,56,,60,101,65,61,,86,42,48,,
"Greenville/New Bern, NC",,82,,86,,74,68,84,77,,21,21,31,,Y
"Little Rock-North Little Rock-Conway, AR",,83,,43,,49,77,79,94,,45,99,63,,
"Lubbock, TX",,84,,84,,54,48,66,92,,17,100,2,,
"Jackson, MS",,85,,52,,57,90,80,99,,34,53,79,,
"Morgantown/Wheeling, WV-OH",,86,,85,,96,66,63,83,,7,24,53,,Y
"Duluth, MN-WI",,87,,88,,101,69,67,86,,26,16,28,,
"Tallahassee, FL",,88,,78,,5,64,37,68,,59,98,58,,
"Daphne-Fairhope-Foley/Mobile, AL",,89,,49,,99,59,92,96,,36,51,90,,Y
"Midland/Saginaw, MI",,90,,91,,95,67,100,8,,1,74,37,,Y
"Kennewick-Richland, WA",,91,,89,,98,47,102,39,,74,10,29,, 
"Montgomery, AL",,92,,75,,71,54,89,100,,28,61,61,,
"Sioux Falls, SD",,93,,93,,25,88,97,65,,77,46,4,,
"Pensacola-Ferry Pass-Brent, FL",,94,,61,,85,65,94,87,,44,77,72,,
"Springfield, MO",,95,,69,,92,97,72,97,,22,85,43,,
"Chattanooga, TN-GA",,96,,55,,97,74,86,91,,41,95,71,,
"Lynchburg, VA",,97,,94,,91,94,85,72,,49,19,62,,
"Johnson City, TN",,98,,101,,100,78,90,75,,23,36,54,,
"Savannah, GA",,99,,74,,45,76,98,95,,85,50,84,,
"Tuscaloosa, AL",,100,,96,,78,86,70,98,,39,57,51,,
"Warner Robins, GA",,101,,102,,90,87,99,102,,4,48,44,,
"Atlantic City-Hammonton, NJ",,102,,90,,80,46,87,101,,97,64,52,,
,,,,,,,,,,,,,,, 
