Place Name,City,Latitude (long),Longitude (long),Latitude (short),Longitude (short),Overall,Population 25-64,Percent College Grad,Top Science Grad Programs,Top Science Undergraduates,Patents per Worker,Average House Price,Violent Crimes per Capita,Commute Less than 30 min,Grouped?
"Lubbock, TX",Lubbock,33.5778631,-101.8551665,33.5778631,-101.8551665,84,84,54,48,66,92,17,100,2,
"Jackson, MS",Jackson,32.2990384,-90.1847691,32.2990384,-90.1847691,85,52,57,90,80,99,34,53,79,
"Morgantown/Wheeling, WV-OH",Morgantown,0,0,39.6296809,-79.9559437,86,85,96,66,63,83,7,24,53,Y
"Duluth, MN-WI",Duluth,46.7729322,-92.1251218,46.7729322,-92.1251218,87,88,101,69,67,86,26,16,28,
"Tallahassee, FL",Tallahassee,30.4380832,-84.2809332,30.4380832,-84.2809332,88,78,5,64,37,68,59,98,58,
"Daphne-Fairhope-Foley/Mobile, AL",Daphne,0,0,30.6035255,-87.9036047,89,49,99,59,92,96,36,51,90,Y
"Midland/Saginaw, MI",Midland,0,0,43.6155825,-84.2472117,90,91,95,67,100,8,1,74,37,Y
"Kennewick-Richland, WA",Kennewick,46.2129125,-119.1011212,46.2083948,-119.1202072,91,89,98,47,102,39,74,10,29, 
"Montgomery, AL",Montgomery,32.3669656,-86.3006485,32.3669656,-86.3006485,92,75,71,54,89,100,28,61,61,
"Sioux Falls, SD",Sioux Falls,43.5499749,-96.700327,43.5499749,-96.700327,93,93,25,88,97,65,77,46,4,
"Pensacola-Ferry Pass-Brent, FL",Pensacola,30.4725975,-87.188085929191,30.421309,-87.2169149,94,61,85,65,94,87,44,77,72,
"Springfield, MO",Springfield,37.2166779,-93.2920373,39.7990175,-89.6439575,95,69,92,97,72,97,22,85,43,
"Chattanooga, TN-GA",Chattanooga,35.0456297,-85.3096801,35.0456297,-85.3096801,96,55,97,74,86,91,41,95,71,
"Lynchburg, VA",Lynchburg,37.40088,-79.1844923945909,37.40088,-79.1844923945909,97,94,91,94,85,72,49,19,62,
"Johnson City, TN",Johnson City,36.3134398,-82.3534728,36.3134398,-82.3534728,98,101,100,78,90,75,23,36,54,
"Savannah, GA",Savannah,32.0809263,-81.0911768,32.0809263,-81.0911768,99,74,45,76,98,95,85,50,84,
"Tuscaloosa, AL",Tuscaloosa,33.2668398,-87.4862182,33.2668398,-87.4862182,100,96,78,86,70,98,39,57,51,
"Warner Robins, GA",Warner Robins,32.6209775,-83.5999048,32.6209775,-83.5999048,101,102,90,87,99,102,4,48,44,
"Atlantic City-Hammonton, NJ",Atlantic City,39.6295026,-74.8506426,39.3642852,-74.4229351,102,90,80,46,87,101,97,64,52,
,,0,0,0,0,,,,,,,,,, 
