,MSA,Total Population,population,collegegrad,sciencegrad,scienceugrad,houseprice,commute,violentcrime,patents,Kauffman,Site selection,Total Sq Feet,Underused Sq Feet,acres land,Top 50 Grad programs,govt at univ R&D per capita,Longitude,Latitude
357,"Visalia-Porterville, CA",460437,219344,0.14,0,0,220356,0.72,4.133029938,0.053584624,0,0,399649,32167,9,0,0,-119.01677,36.06523
358,"Waco, TX",264869,123877,0.21,0,9.9,165333,0.8,3.752798557,0.084288649,0,0,1233015,184227,970,1,90,-97.1382,31.552011
359,"Walla Walla, WA",64210,31802,0.3,0,12.3,227722,0.83,,0.175237358,0,0,NA,,,0,36,-118.291407,46.1341
360,"Warner Robins, GA",189753,100601,0.27,0,1.2,152740,0.73,3.288485527,0.038943131,0,0,13693744,0,6784,0,100,-83.653003,32.580403
361,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6133552,3417219,0.5,21,139.2,494561,0.43,3.117662668,0.380777657,1,1,198812512,2049048.375,93851,47,396,-77.013806,38.887561
362,"Waterloo-Cedar Falls, IA",170015,80522,0.28,0,8.1,164239,0.89,4.818062305,0.325971067,0,0,11096,0,0,0,30,-92.44547,42.52776
363,"Watertown-Fort Drum, NY",114006,57127,0.21,0,0,166272,0.85,,0.08302813,0,0,NA,,,0,0,-75.919406,43.940549
364,"Wausau, WI",135603,70313,0.25,0,0,173027,0.82,0.972408712,0.129932046,0,0,26751,0,0,0,0,-89.704051,44.963304
365,"Weirton-Steubenville, WV-OH",120861,61670,0.18,0,0.9,117476,0.66,,0.023878105,0,0,NA,,,0,85,-78.593865,39.077365
366,"Wenatchee, WA",117665,57552,0.23,0,0,270607,0.83,1.147325039,0.099754721,0,0,200277,10346,85,0,0,-120.351884,47.573816
367,"Wheeling, WV-OH",142982,74609,0.2,0,1.5,130309,0.73,2.802836418,0.026934257,0,0,233150,0,96,0,145,-80.647599,40.102703
368,"Wichita, KS",645447,327105,0.31,0,3.2,160579,0.81,5.238512039,0.270859897,0,0,3939299,0,2780,0,188,-97.258997,37.651974
369,"Wichita Falls, TX",150734,74438,0.23,0,1.3,134865,0.9,3.370175362,0.057908967,0,0,7297789,0,4606,0,5,-98.479881,33.905544
370,"Williamsport, PA",115248,59272,0.21,0,1.8,166425,0.8,2.212619781,0.106219679,0,0,249602,0,4520,0,1,-76.857256,41.345045
371,"Wilmington, NC",282573,146453,0.37,0,7,267951,0.77,3.896338224,0.271011531,0,0,447016,3000,10560,0,156,-77.963628,34.271985
372,"Winchester, VA-WV",138878,72001,0.27,0,0.2,232802,0.66,1.720934868,0.198592573,0,0,756778,22930,296,0,0,-78.16856,39.169668
373,"Winston-Salem, NC",662079,343028,0.26,1,16.7,186393,0.71,3.965058327,0.25566721,0,0,504337,0,0,5,699,-80.200493,36.111102
374,"Worcester, MA-CT",935781,502057,0.34,2,33,291437,0.58,3.837658405,0.792188525,0,0,654788,0,19318,4,567,-71.879415,42.265275
375,"Yakima, WA",249636,117241,0.16,0,0,195092,0.81,2.431540251,0.039906535,0,0,345295,33831,23,0,0,-120.406039,46.722625
376,"York-Hanover, PA",443744,234010,0.24,0,2,193319,0.63,2.037210703,0.321280837,0,0,40598,0,1,0,0,-76.98304,39.80066
377,"Youngstown-Warren-Boardman, OH-PA",544746,276704,0.22,0,10.2,126836,0.77,2.420282125,0.127489507,0,0,4443206,0,21740,0,16,-80.624079,41.133716
378,"Yuba City, CA",171926,86218,0.17,0,0,303644,0.62,3.559670925,0.04408649,0,0,5468114,0,25677,0,0,-121.612481,39.048854
379,"Yuma, AZ",205631,91739,0.15,0,0,150109,0.79,3.671625376,0.064748198,0,0,5520907,0,682765,0,0,-114.624397,32.725325
,"Ames/Des Moines-West Des Moines, IA",,378444,0.386914134,5,568,209187.5938,0.792812049,2.835416317,0.000561365,,,,,,,,,
,"Syracuse/Utica-Rome, NY",,489200,0.291559815,3,481,161349.4063,0.773146808,2.820544481,0.000367946,,,,,,,,,
,"Bloomington/Champaign-Urbana, IL",,204808,0.422478855,23,1514,177678.9531,0.82696712,2.413400888,0.000574085,,,,,,,,,
,"Binghamton/Ithaca, NY",,167266,0.350890964,22,2142,162817.75,0.825136065,2.205092192,0.000914299,,,,,,,,,
,"Indianapolis-Carmel-Anderson/Lafayette-West Lafayette, IN",,1163790,0.338540226,18,979,194639.7188,0.661976933,5.511595249,0.00046807,,,,,,,,,
,"Akron/Canton-Massillon, OH",,570037,0.282044619,0,182,168166.1719,0.709736228,2.712729216,0.00062031,,,,,,,,,
,"Appleton/Green Bay/Oshkosh-Neenah, WI",,382736,0.274685711,0,187,184962.0156,0.797947228,1.723896861,0.00035382,,,,,,,,,
,"Cedar Rapids/Iowa City, IA",,222129,0.385437101,3,455,212878.1094,0.792974412,2.12996459,0.000640707,,,,,,,,,
,"Janesville-Beloit/Madison, WI",,425193,0.415309995,28,1567,258574.0625,0.736596465,6.110000134,0.000685752,,,,,,,,,
,"Milwaukee-Waukesha-West Allis/Racine, WI",,934279,0.335387349,2,271,236314.5625,0.69830972,5.867204666,0.000501539,,,,,,,,,
,"Battle Creek/Kalamazoo-Portage, MI",,231957,0.296386242,1,251,165471.5,0.779336095,1.830000043,0.000335216,,,,,,,,,
,"Ann Arbor/Jackson, MI",,263200,0.440416396,28,1531,253166.5,0.687820196,3.219609737,0.001852118,,,,,,,,,
,"Logan/Ogden-Clearfield, UT-ID",,377088,0.313575506,2,180,261665.0625,0.736283064,1.359260321,0.000392451,,,,,,,,,
,"Bloomington/Columbus, IN",,118291,0.368445665,10,478,198530.2969,0.808606923,2.013490915,0.000800299,,,,,,,,,
,"Lawrence/Manhattan/Topeka, KS",,215885,0.367642581,5,511,191073.3438,0.781284213,3.030143976,0.000169542,,,,,,,,,
,"Niles-Benton Harbor/South Bend-Mishawaka, IN-MI",,239693,0.270518184,1,454,169935.5156,0.764387727,3.411269188,0.000554581,,,,,,,,,
,"Blacksburg-Christiansburg-Radford/Roanoke, VA",,248970,0.287962079,11,726,223887.1094,0.640120208,1.995972157,0.000453642,,,,,,,,,
,"Columbia/Jefferson City, MO",,163584,0.356733829,3,301,188640.5938,0.802645445,2.921578169,0.000164296,,,,,,,,,
,"Clarksville/Nashville-Davidson-Murfreesboro-Franklin, TN-KY",,1157299,0.328305364,3,409,261763.2813,0.582840979,5.634635925,0.000142237,,,,,,,,,
,"Idaho Falls/Pocatello, ID",,109964,0.298921436,0,30,179847.2344,0.821392715,1.75759244,0.000408002,,,,,,,,,
,"Auburn-Opelika/Columbus, GA-AL",,236302,0.288750321,0,132,180314.9688,0.726245463,3.838965654,0.000124242,,,,,,,,,
,"Greenville/New Bern, NC",,144789,0.282998741,0,46,172619.0625,0.757518232,2.385251284,0.000169204,,,,,,,,,
,"Decatur/Springfield, IL",,161497,0.304109186,0,29,148904.9219,0.832331598,6.34030962,0.000195802,,,,,,,,,
,"Morgantown/Wheeling, WV-OH",,145117,0.26038295,0,124,159346.9219,0.719969034,2.458594799,0.000142608,,,,,,,,,
,"Midland/Saginaw, MI",,140198,0.261466503,0,12,133798.7969,0.743632317,4.682340145,0.000855734,,,,,,,,,
,"Daphne-Fairhope-Foley/Mobile, AL",,321284,0.257247478,0,34,184747.6094,0.614865422,3.402081966,9.38E-05,,,,,,,,,
